Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
innervates,0,0,18,0,0,0,0,0,0,0,0,0,0
inseeCode,0,1,0,6,0,0,0,0,0,0,0,0,0
institution,2,3,13,324,25,2,1,111,0,26,1,3035,138
instrument,0,2131,0,0,1,2,0,7,0,2,0,1,70
intercommunality,0,1,0,5,0,0,0,1,0,0,0,0,0
internationalAffiliation,0,0,0,6,4,0,0,0,0,0,0,94,0
isPartOf,0,0,3,349,0,1,0,0,0,2,0,133,91
isPartOfAnatomicalStructure,0,0,4,0,0,0,0,0,0,0,0,0,0
isPartOfMilitaryConflict,0,0,0,40,3874,1,0,39,0,0,0,11,0
isPartOfWineRegion,0,0,0,1,0,0,0,0,0,0,0,0,0
isbn,0,0,0,0,0,2,0,0,0,0,0,0,0
island,0,0,0,226,0,0,0,0,0,8,0,0,0
iso31661Code,0,0,0,39,6,0,0,0,0,0,0,1,0
iso6391Code,0,0,0,0,0,50,0,0,0,0,0,0,0
iso6392Code,0,0,0,0,0,47,0,0,0,0,0,0,0
iso6393Code,0,0,0,0,0,47,0,0,0,0,0,0,0
isoCodeRegion,0,0,0,71,0,0,0,0,0,0,0,0,0
issn,0,0,0,0,0,0,0,0,0,0,0,14,0
iucnCategory,0,0,0,27,0,0,0,0,0,0,0,0,0
iupacName,0,0,7,0,0,0,0,0,0,48,0,0,21
