Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
The_Dark_Side_of_the_Moon,100,10,0,0,100,10
Sgt._Pepper's_Lonely_Hearts_Club_Band,100,13,0,0,100,13
Thriller_(album),100,9,0,0,100,9
Performing_arts,42,124,0,0,42,124
Acting,38,58,0,0,38,58
Audience,0,1,0,0,0,1
Theatre,56,470,0,0,56,470
Joke,0,0,0,0,0,0
Parody,50,115,0,0,50,115
Acrobatics,13,30,0,0,13,30
Tightrope_walking,14,7,0,0,14,7
Circus,29,24,0,0,29,24
Juggling,6,18,0,0,6,18
Animal_training,14,21,0,0,14,21
Magic,0,2,0,0,0,2
Sleight_of_hand,91,22,0,0,91,22
Musical_theatre,73,96,0,0,73,96
Operetta,3,31,0,0,3,31
Oratory,0,0,0,0,0,0
Performance_art,57,168,0,0,57,168
Clown,2,55,0,0,2,55
Dance,28,137,0,0,28,137
Ballet,47,57,0,0,47,57
Belly_dance,8,13,0,0,8,13
Choreography,26,70,0,0,26,70
Circle_dance,0,0,0,0,0,0
Bossa_nova,99,74,100,9,98,65
Breakdancing,27,22,0,0,27,22
Flamenco,79,85,53,19,86,66
Folk_dance,18,17,0,0,18,17
Foxtrot,0,14,0,0,0,14
Hip_hop_music,90,352,86,214,96,138
Jive,0,0,0,0,0,0
Mambo,0,0,0,0,0,0
Modern_dance,82,57,0,0,82,57
Pasodoble,100,10,0,0,100,10
Quickstep,0,0,0,0,0,0
Samba,98,92,100,15,97,77
Tango,6,16,0,0,6,16
Twist,0,0,0,0,0,0
Waltz,0,37,0,0,0,37
Theatre,56,470,0,0,56,470
Theatre_of_ancient_Greece,100,1,0,0,100,1
Amateur_theatre,75,4,0,0,75,4
Improvisational_theatre,7,57,0,0,7,57
Audition,50,2,0,0,50,2
Broadway_theatre,61,159,0,0,61,159
Cabaret,13,94,0,0,13,94
Corps_de_ballet,0,0,0,0,0,0
Comedy,63,222,0,0,63,222
Commedia_dell'arte,33,6,0,0,33,6
Dialogue,45,22,0,0,45,22
Drama,71,213,0,0,71,213
